HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
58001001	1	nachdem	SCONJ	KOUS								
58001001	2	Gott	NOUN	NN					S		Nom	M
58001001	3	vielfältig	ADV	ADJD	Pos							
58001001	4	und	CCONJ	KON								
58001001	5	auf	ADP	PTKVZ								
58001001	6	vielerlei	PRON	PIS								
58001001	7	Weise	NOUN	NN					S		Nom	F
58001001	8	ehemals	ADV	ADV								
58001001	9	zu	ADP	PTKVZ								
58001001	10	der	DET	ART					S		Acc	M
58001001	11	Vätern	NOUN	NN					P		Dat	M
58001001	12	reden	VERB	VVPP		Part						
58001001	13	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
58001001	14	in	ADP	APPR								
58001001	15	der	DET	ART					S		Acc	M
58001001	16	Prophet	NOUN	NN					P		Nom	M
58001001	17	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
58001001	18	er	PRON	PPER				3	S		Nom	M
58001001	19	an	ADP	APPRART					S		Dat	M
58001001	20	Ende	NOUN	NN					S		Nom	N
58001001	21	dieser	PRON	PDAT					S		Nom	M
58001001	22	Tag	NOUN	NN					P		Nom	M
58001001	23	zu	ADP	PTKVZ								
58001001	24	uns	PRON	PPER				1	P		Acc	
58001001	25	reden	VERB	VVPP		Part						
58001001	26	in	ADP	APPRART					S		Dat	N
58001001	27	Sohn	NOUN	NN					S		Acc	M
58001002	1	der	DET	ART					S		Acc	M
58001002	2	er	PRON	PPER				3	S		Nom	M
58001002	3	setzen	VERB	VVPP		Part						
58001002	4	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
58001002	5	zu	ADP	APPRART					S		Dat	N
58001002	6	Erbe	NOUN	NN					P		Nom	M
58001002	7	aller	DET	PIAT					P		Gen	
58001002	8	Ding	NOUN	NN					P		Nom	N
58001002	9	durch	ADP	APPR								
58001002	10	der	DET	ART					S		Acc	M
58001002	11	er	PRON	PPER				3	S		Nom	M
58001002	12	auch	ADV	ADV								
58001002	13	der	DET	ART					S		Nom	F
58001002	14	Welt	NOUN	NN					P		Nom	F
58001002	15	machen	VERB	VVPP		Part						
58001002	16	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
58001003	1	welcher	PRON	PWAT					S		Nom	M
58001003	2	der	DET	ART					S		Nom	M
58001003	3	Abglanz	NOUN	NN					S		Nom	M
58001003	4	sein	DET	PPOSAT					S		Dat	F
58001003	5	Herrlichkeit	NOUN	NN					S		Nom	F
58001003	6	und	CCONJ	KON								
58001003	7	der	DET	ART					S		Nom	M
58001003	8	Abdruck	NOUN	NN					S		Nom	M
58001003	9	sein	DET	PPOSAT					S		Gen	M
58001003	10	Wesen	NOUN	NN					S		Gen	N
58001003	11	seiend	ADV	ADJD	Pos							
58001003	12	und	CCONJ	KON								
58001003	13	aller	PRON	PIS					P		Nom	
58001003	14	Ding	NOUN	NN					P		Nom	N
58001003	15	durch	ADP	APPR								
58001003	16	der	DET	ART					S		Nom	N
58001003	17	Wort	NOUN	NN					S		Nom	N
58001003	18	sein	DET	PPOSAT					S		Dat	F
58001003	19	Macht	NOUN	NN					S		Nom	F
58001003	20	tragend	ADV	ADJD	Pos							
58001003	21	nachdem	SCONJ	KOUS								
58001003	22	er	PRON	PPER				3	S		Nom	M
58001003	23	durch	ADP	APPR								
58001003	24	sich	PRON	PRF				3	S		Acc	
58001003	25	selbst	ADV	ADV								
58001003	26	der	DET	ART					S		Nom	F
58001003	27	Reinigung	NOUN	NN					S		Nom	F
58001003	28	der	DET	ART					S		Nom	M
58001003	29	Sünde	NOUN	NN					P		Nom	F
58001003	30	bewirken	VERB	VVFIN		Fin	Pres	3	S	Ind		
58001003	31	sich	PRON	PRF				3	S		Acc	
58001003	32	setzen	VERB	VVPP		Part						
58001003	33	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
58001003	34	zu	ADP	APPRART					S		Dat	F
58001003	35	rechte	NOUN	NN					P		Nom	F
58001003	36	der	DET	ART					S		Nom	M
58001003	37	Majestät	NOUN	NN					S		Nom	F
58001003	38	in	ADP	APPR								
58001003	39	der	DET	ART					S		Nom	M
58001003	40	Höhe	NOUN	NN					S		Nom	F
58001004	1	indem	SCONJ	KOUS								
58001004	2	er	PRON	PPER				3	S		Nom	M
58001004	3	um	ADP	APPR								
58001004	4	so	ADV	ADV								
58001004	5	viel	PRON	PIS								
58001004	6	gut	ADV	ADJD	Cmp							
58001004	7	werden	AUX	VAPP		Part						
58001004	8	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
58001004	9	als	ADP	KOKOM								
58001004	10	der	DET	ART					S		Nom	F
58001004	11	Engel	NOUN	NN					S		Nom	M
58001004	12	als	ADP	KOKOM								
58001004	13	er	PRON	PPER				3	S		Nom	M
58001004	14	ein	DET	ART					S		Acc	M
58001004	15	vorzüglicheren	VERB	VVFIN		Fin	Past	3	P	Ind		
58001004	16	Name	NOUN	NN					P		Nom	M
58001004	17	vor	ADP	APPR								
58001004	18	ihnen	PRON	PPER				3	P		Dat	
58001004	19	ererben	VERB	VVPP		Part						
58001004	20	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
58001005	1	denn	CCONJ	KON								
58001005	2	zu	ADP	PTKVZ								
58001005	3	welcher	DET	PWAT					S		Dat	N
58001005	4	der	DET	ART					S		Nom	M
58001005	5	Engel	NOUN	NN					S		Nom	M
58001005	6	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
58001005	7	er	PRON	PPER				3	S		Nom	M
58001005	8	je	ADV	ADV								
58001005	9	sagen	VERB	VVPP		Part						
58001005	10	du	PRON	PPER				2	S		Nom	
58001005	11	sein	AUX	VAFIN		Fin	Pres	2	S	Ind		
58001005	12	mein	DET	PPOSAT					S		Nom	N
58001005	13	Sohn	NOUN	NN					S		Nom	M
58001005	14	heute	ADV	ADV								
58001005	15	haben	AUX	VAFIN		Fin	Pres	3	S	Sub		
58001005	16	ich	PRON	PPER				1	S		Nom	
58001005	17	dich	PRON	PPER				2	S		Acc	
58001005	18	zeugen	VERB	VVPP		Part						
58001005	19	und	CCONJ	KON								
58001005	20	wiederum	ADV	ADV								
58001005	21	ich	PRON	PPER				1	S		Nom	
58001005	22	wollen	AUX	VMFIN		Fin	Pres	3	S	Ind		
58001005	23	ihm	PRON	PPER				3	S		Dat	M
58001005	24	zu	ADP	APPRART					S		Dat	N
58001005	25	Vater	NOUN	NN					S		Nom	M
58001005	26	und	CCONJ	KON								
58001005	27	er	PRON	PPER				3	S		Nom	M
58001005	28	sollen	AUX	VMFIN		Fin	Pres	3	S	Ind		
58001005	29	mir	PRON	PPER				1	S		Dat	
58001005	30	zu	ADP	APPRART					S		Dat	N
58001005	31	Sohn	NOUN	NN					S		Acc	M
58001005	32	sein	AUX	VAINF		Inf						
58001006	1	wenn	SCONJ	KOUS								
58001006	2	er	PRON	PPER				3	S		Nom	M
58001006	3	aber	CCONJ	KON								
58001006	4	der	DET	ART					S		Acc	M
58001006	5	Erstgeboren	NOUN	NN					P		Nom	F
58001006	6	wiederum	ADV	ADV								
58001006	7	in	ADP	APPR								
58001006	8	der	DET	ART					S		Acc	M
58001006	9	Erdkreis	NOUN	NN					S		Nom	M
58001006	10	einführen	VERB	VVFIN		Fin	Pres	3	S	Ind		
58001006	11	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
58001006	12	er	PRON	PPER				3	S		Nom	M
58001006	13	und	CCONJ	KON								
58001006	14	aller	PRON	PIS					P		Nom	
58001006	15	Engel	NOUN	NN					S		Nom	M
58001006	16	Gott	NOUN	NN					S		Gen	M
58001006	17	sollen	AUX	VMFIN		Fin	Pres	3	P	Ind		
58001006	18	ihn	PRON	PPER				3	S		Acc	M
58001006	19	anbeten	VERB	VVFIN		Fin	Pres	3	P	Ind		
58001007	1	und	CCONJ	KON								
58001007	2	in	ADP	APPR								
58001007	3	Bezug	NOUN	NN					S		Acc	M
58001007	4	auf	ADP	PTKVZ								
58001007	5	der	DET	ART					S		Nom	F
58001007	6	Engel	NOUN	NN					S		Nom	M
58001007	7	zwar	ADV	ADV								
58001007	8	sprechen	VERB	VVFIN		Fin	Pres	3	S	Ind		
58001007	9	er	PRON	PPER				3	S		Nom	M
58001007	10	der	DET	ART					S		Nom	M
58001007	11	sein	DET	PPOSAT					S		Nom	F
58001007	12	Engel	NOUN	NN					S		Nom	M
58001007	13	zu	ADP	PTKVZ								
58001007	14	Winde	NOUN	NN					P		Nom	F
58001007	15	machen	VERB	VVFIN		Fin	Pres	3	S	Ind		
58001007	16	und	CCONJ	KON								
58001007	17	sein	DET	PPOSAT					S		Nom	F
58001007	18	Diener	NOUN	NN					P		Nom	M
58001007	19	zu	ADP	PTKVZ								
58001007	20	ein	PRON	ART					S		Nom	M
58001007	21	Feuerflamm	NOUN	NN					P		Nom	N
58001007	22	in	ADP	APPR								
58001007	23	Bezug	NOUN	NN					S		Acc	M
58001007	24	auf	ADP	PTKVZ								
58001007	25	der	DET	ART					S		Acc	M
58001007	26	Sohn	NOUN	NN					S		Nom	M
58001007	27	aber	CCONJ	KON								
58001008	1	dein	PRON	PPOSAT				2	P		Nom	
58001008	2	Thron	NOUN	NN					S		Nom	M
58001008	3	o	PROPN	NE					S		Nom	
58001008	4	Gott	NOUN	NN					S		Nom	M
58001008	5	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
58001008	6	von	ADP	APPR								
58001008	7	Ewigkeit	NOUN	NN					S		Nom	F
58001008	8	zu	ADP	PTKVZ								
58001008	9	Ewigkeit	NOUN	NN					S		Nom	F
58001008	10	und	CCONJ	KON								
58001008	11	ein	DET	ART					S		Nom	N
58001008	12	Zepter	NOUN	NN					P		Nom	N
58001008	13	der	DET	ART					S		Nom	M
58001008	14	Aufrichtigkeit	NOUN	NN					S		Nom	F
58001008	15	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
58001008	16	der	DET	ART					S		Nom	N
58001008	17	Zepter	NOUN	NN					P		Nom	N
58001008	18	dein	DET	PPOSAT					S		Gen	N
58001008	19	Reich	NOUN	NE					S		Nom	N
58001009	1	du	PRON	PPER				2	S		Nom	
58001009	2	haben	AUX	VAFIN		Fin	Pres	2	S	Ind		
58001009	3	Gerechtigkeit	NOUN	NN					S		Nom	F
58001009	4	lieben	VERB	VVPP		Part						
58001009	5	und	CCONJ	KON								
58001009	6	Gesetzlosigkeit	NOUN	NN					S		Nom	F
58001009	7	hassen	VERB	VVPP		Part						
58001009	8	darum	ADV	PROAV								
58001009	9	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
58001009	10	Gott	NOUN	NN					S		Nom	M
58001009	11	dein	DET	PPER					S		Nom	N
58001009	12	Gott	NOUN	NN					S		Nom	M
58001009	13	dich	PRON	PPER				2	S		Acc	
58001009	14	salben	VERB	VVPP		Part						
58001009	15	mit	ADP	APPR								
58001009	16	Freudenöl	NOUN	NN					S		Acc	M
58001009	17	über	ADP	APPR								
58001009	18	dein	DET	PPOSAT					S		Nom	F
58001009	19	Genosse	NOUN	NN					P		Nom	M
58001010	1	und	CCONJ	KON								
58001010	2	du	PRON	PPER				2	S		Nom	
58001010	3	Herr	NOUN	NN					S		Nom	M
58001010	4	haben	AUX	VAFIN		Fin	Pres	2	S	Ind		
58001010	5	in	ADP	APPRART					S		Dat	N
58001010	6	Anfang	NOUN	NN					S			M
58001010	7	der	DET	ART					S		Nom	F
58001010	8	Erde	NOUN	NN					S		Nom	F
58001010	9	gründen	VERB	VVPP		Part						
58001010	10	und	CCONJ	KON								
58001010	11	der	DET	ART					S		Nom	F
58001010	12	Himmel	NOUN	NN					S		Nom	M
58001010	13	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
58001010	14	Werk	NOUN	NN					P		Nom	N
58001010	15	dein	DET	PPOSAT					S		Dat	F
58001010	16	Hand	NOUN	NN					P		Nom	F
58001011	1	sie	PRON	PPER				3	P		Nom	
58001011	2	werden	AUX	VAFIN		Fin	Pres	3	P	Ind		
58001011	3	untergehen	VERB	VVINF		Inf						
58001011	4	du	PRON	PPER				2	S		Nom	
58001011	5	aber	CCONJ	KON								
58001011	6	bleibsen	VERB	VVFIN		Fin	Pres	2	S	Ind		
58001011	7	und	CCONJ	KON								
58001011	8	sie	PRON	PPER				3	P		Nom	
58001011	9	aller	PRON	PIS					P		Nom	
58001011	10	werden	AUX	VAFIN		Fin	Pres	3	P	Ind		
58001011	11	veralten	VERB	VVFIN		Fin	Pres	3	P	Ind		
58001011	12	wie	ADP	KOKOM								
58001011	13	ein	DET	ART					S		Nom	N
58001011	14	Kleid	NOUN	NN					S		Nom	N
58001012	1	und	CCONJ	KON								
58001012	2	wie	ADP	KOKOM								
58001012	3	ein	DET	ART					S		Nom	N
58001012	4	Gewand	NOUN	NN					S		Nom	N
58001012	5	wersten	AUX	VAFIN		Fin	Pres	2	S	Ind		
58001012	6	du	PRON	PPER				2	S		Nom	
58001012	7	sie	PRON	PPER				3	P		Nom	
58001012	8	Zusammenwickel	VERB	VVINF		Fin	Past	3	P	Ind		
58001012	9	und	CCONJ	KON								
58001012	10	sie	PRON	PPER				3	P		Nom	
58001012	11	werden	AUX	VAFIN		Fin	Pres	3	P	Ind		
58001012	12	verwandeln	VERB	VVFIN		Fin	Pres	3	S	Ind		
58001012	13	werden	AUX	VAFIN		Fin	Pres	3	P	Ind		
58001012	14	du	PRON	PPER				2	S		Nom	
58001012	15	aber	CCONJ	KON								
58001012	16	sein	AUX	VAFIN		Fin	Pres	2	S	Ind		
58001012	17	derselbe	PRON	PDS					S		Nom	M
58001012	18	und	CCONJ	KON								
58001012	19	dein	DET	PPOSAT					S		Nom	F
58001012	20	Jahr	NOUN	NN					P		Nom	N
58001012	21	werden	AUX	VAFIN		Fin	Pres	3	P	Ind		
58001012	22	nicht	PART	PTKNEG								
58001012	23	vergehen	VERB	VVINF		Inf						
58001013	1	zu	ADP	APPR								
58001013	2	welcher	DET	PWAT					S		Dat	N
58001013	3	der	DET	ART					S		Nom	M
58001013	4	Engel	NOUN	NN					S		Nom	M
58001013	5	aber	CCONJ	KON								
58001013	6	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
58001013	7	er	PRON	PPER				3	S		Nom	M
58001013	8	je	ADV	ADV								
58001013	9	sagen	VERB	VVPP		Part						
58001013	10	Setze	NOUN	NN					P		Nom	M
58001013	11	dich	PRON	PPER				2	S		Acc	
58001013	12	zu	ADP	PTKVZ								
58001013	13	mein	DET	PPOSAT					S		Dat	F
58001013	14	rechte	NOUN	NN					P		Nom	F
58001013	15	bis	CCONJ	KON								
58001013	16	ich	PRON	PPER				1	S		Nom	
58001013	17	dein	DET	PPOSAT					S		Nom	F
58001013	18	Feind	NOUN	NN					P		Nom	M
58001013	19	legen	VERB	VVFIN		Fin	Pres	3	S	Sub		
58001013	20	zu	ADP	APPRART					S		Dat	N
58001013	21	Schemel	PROPN	NE					S		Nom	
58001013	22	dein	DET	PPOSAT					S		Dat	F
58001013	23	Fuß	PROPN	NN					S		Nom	
58001014	1	Sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
58001014	2	sie	PRON	PPER				3	P		Nom	
58001014	3	nicht	PART	PTKNEG								
58001014	4	aller	PRON	PIS					P		Nom	
58001014	5	Dienstbare	PROPN	NE					S		Nom	
58001014	6	Geist	NOUN	NN					P		Nom	M
58001014	7	ausgesandt	VERB	VVPP		Part						
58001014	8	zu	ADP	APPRART					S		Dat	N
58001014	9	Dienst	NOUN	NN					S		Nom	M
58001014	10	um	ADP	APPR								
58001014	11	der	PRON	PDS					P		Gen	
58001014	12	Wille	ADP	APZR								
58001014	13	welcher	DET	PWAT					S		Nom	F
58001014	14	der	DET	ART					S		Nom	F
58001014	15	Seligkeit	NOUN	NN					S		Nom	F
58001014	16	ererben	VERB	VVINF		Inf						
58001014	17	sollen	AUX	VMFIN		Fin	Pres	3	P	Ind		
58002001	1	deswegen	ADV	PROAV								
58002001	2	sollen	AUX	VMFIN		Fin	Pres	3	P	Ind		
58002001	3	wir	PRON	PPER				1	P		Nom	
58002001	4	um	ADP	APPR								
58002001	5	so	ADV	ADV								
58002001	6	mehr	ADV	ADV								
58002001	7	auf	ADP	PTKVZ								
58002001	8	der	DET	ART					S		Nom	N
58002001	9	achten	VERB	VVINF		Inf						
58002001	10	was	PRON	PWS					S		Nom	N
58002001	11	wir	PRON	PPER				1	P		Nom	
58002001	12	gehören	VERB	VVFIN		Fin	Pres	3	S	Ind		
58002001	13	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
58002001	14	damit	ADV	PROAV								
58002001	15	wir	PRON	PPER				1	P		Nom	
58002001	16	nicht	PART	PTKNEG								
58002001	17	etwa	ADV	ADV								
58002001	18	abgleiten	VERB	VVINF		Inf						
58002002	1	denn	CCONJ	KON								
58002002	2	wenn	SCONJ	KOUS								
58002002	3	der	DET	ART					S		Nom	N
58002002	4	durch	ADP	APPR								
58002002	5	Engel	NOUN	NN					S		Nom	M
58002002	6	Geredete	NOUN	NN					S		Nom	F
58002002	7	Wort	NOUN	NN					S		Nom	N
58002002	8	fest	ADV	PTKVZ								
58002002	9	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
58002002	10	und	CCONJ	KON								
58002002	11	jeder	DET	PIAT					S		Nom	F
58002002	12	Übertretung	NOUN	NN					S		Nom	F
58002002	13	und	CCONJ	KON								
58002002	14	jeder	PRON	PIS					S		Nom	M
58002002	15	Ungehorsam	NOUN	NN					S		Nom	M
58002002	16	gerecht	ADJ	ADJA	Pos				S		Nom	F
58002002	17	Vergeltung	NOUN	NN					S		Nom	F
58002002	18	empfangen	VERB	VVFIN		Fin	Past	3	S	Ind		
58002003	1	wie	ADP	KOKOM								
58002003	2	werden	AUX	VAFIN		Fin	Pres	3	P	Ind		
58002003	3	wir	PRON	PPER				1	P		Nom	
58002003	4	entfliehen	VERB	VVINF		Inf						
58002003	5	wenn	SCONJ	KOUS								
58002003	6	wir	PRON	PPER				1	P		Nom	
58002003	7	ein	DET	ART					S		Nom	F
58002003	8	so	ADV	ADV								
58002003	9	groß	ADJ	ADJA	Pos				S		Nom	F
58002003	10	Errettung	NOUN	NN					S		Nom	F
58002003	11	vernachlässigen	VERB	VVINF		Fin	Pres	3	P	Ind		
58002003	12	welcher	DET	PWAT					S		Nom	F
58002003	13	der	DET	ART					S		Acc	M
58002003	14	Anfang	NOUN	NN					S			M
58002003	15	ihr	DET	PPOSAT					S		Dat	F
58002003	16	Verkündigung	NOUN	NN					S		Nom	F
58002003	17	durch	ADP	APPR								
58002003	18	der	DET	ART					S		Acc	M
58002003	19	Herr	NOUN	NN					S		Acc	M
58002003	20	empfangen	VERB	VVPP		Part						
58002003	21	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
58002003	22	und	CCONJ	KON								
58002003	23	uns	PRON	PPER				1	P		Acc	
58002003	24	von	ADP	APPR								
58002003	25	der	PRON	PDS					P		Dat	
58002003	26	bestätigen	VERB	VVFIN		Fin	Pres	3	S	Ind		
58002003	27	werden	AUX	VAPP		Part						
58002003	28	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
58002003	29	der	DET	ART					S		Nom	F
58002003	30	es	PRON	PPER				3	S		Nom	N
58002003	31	gehören	VERB	VVFIN		Fin	Pres	3	S	Ind		
58002003	32	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
58002004	1	indem	SCONJ	KOUS								
58002004	2	Gott	NOUN	NN					S		Nom	M
58002004	3	außerdem	ADV	PROAV								
58002004	4	mitzeugt	ADJ	ADJA	Pos				S		Nom	F
58002004	5	sowohl	CCONJ	KON								
58002004	6	durch	ADP	APPR								
58002004	7	Zeichen	NOUN	NN					P		Nom	N
58002004	8	als	ADP	KOKOM								
58002004	9	durch	ADP	APPR								
58002004	10	Wunder	NOUN	NN					S		Nom	N
58002004	11	und	CCONJ	KON								
58002004	12	mancherlei	PRON	PIS								
58002004	13	Wunderwerk	NOUN	NN					P		Nom	N
58002004	14	und	CCONJ	KON								
58002004	15	Austeilung	NOUN	NN					P		Nom	F
58002004	16	der	DET	ART					S		Gen	M
58002004	17	heilig	NOUN	NN					P		Dat	
58002004	18	Geist	NOUN	NN					S		Gen	M
58002004	19	nach	ADP	APPR								
58002004	20	sein	DET	PPOSAT					S		Dat	M
58002004	21	Wille	NOUN	NN					S		Acc	M
58002005	1	denn	CCONJ	KON								
58002005	2	nicht	PART	PTKNEG								
58002005	3	Engel	NOUN	NN					P		Dat	M
58002005	4	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
58002005	5	er	PRON	PPER				3	S		Nom	M
58002005	6	unterwerfen	VERB	VVPP		Part						
58002005	7	der	DET	ART					S		Acc	M
58002005	8	zukünftig	VERB	ADJA		Fin	Past	3	P	Ind		
58002005	9	Erdkreis	NOUN	NN					S		Nom	M
58002005	10	von	ADP	APPR								
58002005	11	welcher	DET	PWAT					S		Dat	N
58002005	12	wir	PRON	PPER				1	P		Nom	
58002005	13	reden	VERB	VVINF		Inf						
58002006	1	es	PRON	PPER				3	S		Nom	N
58002006	2	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
58002006	3	aber	CCONJ	KON								
58002006	4	irgendwo	ADV	ADV								
58002006	5	jemand	PRON	PIS					S		Nom	M
58002006	6	bezeugen	VERB	VVFIN		Fin	Pres	3	S	Ind		
58002006	7	und	CCONJ	KON								
58002006	8	sagen	VERB	VVPP		Part						
58002006	9	was	PRON	PWS					S		Nom	N
58002006	10	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
58002006	11	der	DET	ART					S		Nom	M
58002006	12	Mensch	NOUN	NN					S		Nom	M
58002006	13	daß	SCONJ	KOUS								
58002006	14	du	PRON	PPER				2	S		Nom	
58002006	15	sein	DET	PPOSAT					S		Dat	F
58002006	16	denksen	VERB	VVPP		Part						
58002006	17	oder	CCONJ	KON								
58002006	18	der	DET	ART					S		Gen	M
58002006	19	Mensch	NOUN	NN					P		Nom	M
58002006	20	Sohn	NOUN	NN					S		Nom	M
58002006	21	daß	SCONJ	KOUS								
58002006	22	du	PRON	PPER				2	S		Nom	
58002006	23	auf	ADP	PTKVZ								
58002006	24	ihn	PRON	PPER				3	S		Acc	M
58002006	25	siehst	VERB	VVFIN		Fin	Pres	2	S	Ind		
58002007	1	du	PRON	PPER				2	S		Nom	
58002007	2	haben	AUX	VAFIN		Fin	Pres	2	S	Ind		
58002007	3	ihn	PRON	PPER				3	S		Acc	M
58002007	4	ein	DET	ART					S		Nom	N
58002007	5	wenig	PRON	PIS								
58002007	6	unter	ADP	APPR								
58002007	7	der	DET	ART					S		Nom	F
58002007	8	Engel	NOUN	NN					S		Nom	M
58002007	9	erniedrigen	VERB	VVPP		Part						
58002007	10	mit	ADP	APPR								
58002007	11	Herrlichkeit	NOUN	NN					S		Nom	F
58002007	12	und	CCONJ	KON								
58002007	13	Ehre	NOUN	NN					S		Nom	F
58002007	14	haben	AUX	VAFIN		Fin	Pres	2	S	Ind		
58002007	15	du	PRON	PPER				2	S		Nom	
58002007	16	ihn	PRON	PPER				3	S		Acc	M
58002007	17	krönen	VERB	VVPP		Part						
58002007	18	und	CCONJ	KON								
58002007	19	ihn	PRON	PPER				3	S		Acc	M
58002007	20	setzen	VERB	VVPP		Part						
58002007	21	über	ADP	APPR								
58002007	22	der	DET	ART					S		Nom	F
58002007	23	Werk	NOUN	NN					P		Nom	N
58002007	24	dein	DET	PPOSAT					S		Dat	F
58002007	25	Hand	NOUN	NN					P		Nom	F
58002008	1	du	PRON	PPER				2	S		Nom	
58002008	2	haben	AUX	VAFIN		Fin	Pres	2	S	Ind		
58002008	3	alle	PRON	PIS					S		Nom	N
58002008	4	sein	DET	PPOSAT					S		Acc	M
58002008	5	Fuß	NOUN	NN					P		Dat	M
58002008	6	unterwerfen	VERB	VVPP		Part						
58002008	7	denn	CCONJ	KON								
58002008	8	indem	SCONJ	KOUS								
58002008	9	er	PRON	PPER				3	S		Nom	M
58002008	10	ihm	PRON	PPER				3	S		Dat	M
58002008	11	alle	PRON	PIS					S		Nom	N
58002008	12	unterwerfen	VERB	VVPP		Part						
58002008	13	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
58002008	14	er	PRON	PPER				3	S		Nom	M
58002008	15	nichts	PRON	PIS								N
58002008	16	lassen	VERB	VVPP		Part						
58002008	17	der	DET	ART					S		Nom	N
58002008	18	ihm	PRON	PPER				3	S		Dat	M
58002008	19	nicht	PART	PTKNEG								
58002008	20	unterwerfen	VERB	VVPP		Part						
58002008	21	sein	AUX	VAFIN		Fin	Past	3	S	Sub		
58002008	22	jetzt	ADV	ADV								
58002008	23	aber	CCONJ	KON								
58002008	24	sehen	VERB	VVINF		Fin	Pres	3	P	Ind		
58002008	25	wir	PRON	PPER				1	P		Nom	
58002008	26	ihm	PRON	PPER				3	S		Dat	M
58002008	27	noch	CCONJ	KON								
58002008	28	nicht	PART	PTKNEG								
58002008	29	alle	PRON	PIS					S		Nom	N
58002008	30	unterwerfen	VERB	VVPP		Part						
58002009	1	wir	PRON	PPER				1	P		Nom	
58002009	2	sehen	VERB	VVINF		Fin	Pres	3	P	Ind		
58002009	3	aber	CCONJ	KON								
58002009	4	Jesum	PROPN	XY					S		Nom	M
58002009	5	der	DET	ART					S		Nom	M
58002009	6	ein	DET	ART					S		Nom	N
58002009	7	wenig	PRON	PIS								
58002009	8	unter	ADP	APPR								
58002009	9	der	DET	ART					S		Nom	F
58002009	10	Engel	NOUN	NN					S		Nom	M
58002009	11	wegen	ADP	APPR								
58002009	12	der	DET	ART					S		Gen	M
58002009	13	leiden	NOUN	ADV					S		Gen	N
58002009	14	der	DET	ART					S		Gen	M
58002009	15	Tode	PROPN	NE					S		Gen	
58002009	16	erniedrigen	VERB	VVPP		Part						
58002009	17	sein	AUX	VAFIN		Fin	Past	3	S	Ind		
58002009	18	mit	ADP	APPR								
58002009	19	Herrlichkeit	NOUN	NN					S		Nom	F
58002009	20	und	CCONJ	KON								
58002009	21	Ehre	NOUN	NN					S		Nom	F
58002009	22	krönen	VERB	VVPP		Part						
58002009	23	so	ADV	ADV								
58002009	24	daß	SCONJ	KOUS								
58002009	25	er	PRON	PPER				3	S		Nom	M
58002009	26	durch	ADP	APPR								
58002009	27	Gott	NOUN	NN					S		Gen	M
58002009	28	Gnade	NOUN	NN					S		Nom	F
58002009	29	für	ADP	APPR								
58002009	30	alle	PRON	PIS					S		Nom	N
58002009	31	der	DET	ART					S		Acc	M
58002009	32	Tod	NOUN	NN					S		Nom	M
58002009	33	schmecken	VERB	VVFIN		Fin	Past	3	S	Ind		
58002010	1	denn	CCONJ	KON								
58002010	2	es	PRON	PPER				3	S		Nom	N
58002010	3	geziemen	VERB	VVFIN		Fin	Past	3	S	Ind		
58002010	4	ihm	PRON	PPER				3	S		Dat	M
58002010	5	um	ADP	APPR								
58002010	6	Deswille	NOUN	NN					P		Nom	M
58002010	7	aller	PRON	PIS					P		Nom	
58002010	8	Ding	NOUN	NN					P		Nom	N
58002010	9	und	CCONJ	KON								
58002010	10	durch	ADP	APPR								
58002010	11	der	DET	ART					S		Acc	M
58002010	12	aller	PRON	PIS					P		Nom	
58002010	13	Ding	NOUN	NN					P		Nom	N
58002010	14	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
58002010	15	indem	SCONJ	KOUS								
58002010	16	er	PRON	PPER				3	S		Nom	M
58002010	17	vieler	PRON	PIS					P		Nom	
58002010	18	Sohn	NOUN	NN					P		Nom	M
58002010	19	zu	ADP	APPRART					S		Dat	F
58002010	20	Herrlichkeit	NOUN	NN					S		Nom	F
58002010	21	bringen	VERB	VVFIN		Fin	Past	3	S	Ind		
58002010	22	der	DET	ART					S		Acc	M
58002010	23	Anführer	NOUN	NN					S		Nom	M
