HebRefId	PositionInVerse	Lemma	PartOfSpeech	Stts	Degree	VerbForm	Tense	Person	Number	Mood	Case	Gender
25001001	1	wie	ADV	PWAV								
25001001	2	sitzen	VERB	VVFIN		Fin	Pres	3	S	Ind		
25001001	3	einsam	ADV	ADJD	Pos							
25001001	4	der	DET	ART					S		Nom	F
25001001	5	volkreich	ADJ	ADJA	Pos				S		Nom	F
25001001	6	Stadt	NOUN	NN					S		Nom	F
25001001	7	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001001	8	ein	PRON	ART					S		Nom	M
25001001	9	Witwe	NOUN	NN					S		Nom	F
25001001	10	gleich	ADV	ADV	Pos							
25001001	11	werden	AUX	VAPP		Part						
25001001	12	der	DET	ART					S		Nom	F
25001001	13	groß	PROPN	NE					S		Nom	
25001001	14	unter	ADP	APPR								
25001001	15	der	DET	ART					S		Acc	M
25001001	16	Nation	NOUN	NN					P		Nom	F
25001001	17	der	DET	ART					S		Nom	F
25001001	18	Fürstin	NOUN	NN					S		Nom	F
25001001	19	unter	ADP	APPR								
25001001	20	der	DET	ART					S		Acc	M
25001001	21	Landschaft	NOUN	NN					P		Nom	F
25001001	22	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001001	23	zinsbar	ADV	ADJD	Pos							
25001001	24	werden	AUX	VAPP		Part						
25001002	1	Bitterlich	ADV	ADJD	Pos							
25001002	2	weinen	VERB	VVFIN		Fin	Pres	3	S	Ind		
25001002	3	sie	PRON	PPER				3	P		Nom	
25001002	4	der	DET	ART					S		Gen	M
25001002	5	Nacht	ADV	ADV								
25001002	6	und	CCONJ	KON								
25001002	7	ihr	DET	PPOSAT					S		Nom	F
25001002	8	Träne	NOUN	NN					P		Nom	F
25001002	9	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
25001002	10	auf	ADP	PTKVZ								
25001002	11	ihr	DET	PPOSAT					S		Acc	M
25001002	12	Wange	NOUN	NN					P		Nom	F
25001002	13	sie	PRON	PPER				3	P		Nom	
25001002	14	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001002	15	kein	PRON	PIS					S		Acc	M
25001002	16	Tröster	NOUN	NN					S		Nom	M
25001002	17	unter	ADP	APPR								
25001002	18	aller	DET	PIS					P		Dat	
25001002	19	der	DET	ART					S		Nom	F
25001002	20	sie	PRON	PPER				3	P		Nom	
25001002	21	lieben	VERB	VVFIN		Fin	Past	3	P	Ind		
25001002	22	aller	PRON	PIS					P		Nom	
25001002	23	ihr	DET	PPOSAT					S		Nom	F
25001002	24	Freund	NOUN	NN					P		Nom	M
25001002	25	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
25001002	26	treulos	ADV	ADJD	Pos							
25001002	27	an	ADP	PTKVZ								
25001002	28	ihr	PRON	PPOSAT				3	S		Dat	F
25001002	29	handeln	VERB	VVPP		Part						
25001002	30	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
25001002	31	ihr	PRON	PPOSAT				3	S		Dat	F
25001002	32	zu	ADP	PTKVZ								
25001002	33	Feind	NOUN	NN					P		Dat	M
25001002	34	werden	AUX	VAPP		Part						
25001003	1	Juda	PROPN	NE					S		Nom	M
25001003	2	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001003	3	auswandern	VERB	VVPP		Part						
25001003	4	vor	ADP	APPR								
25001003	5	Elend	NOUN	NN					S		Nom	N
25001003	6	und	CCONJ	KON								
25001003	7	vor	ADP	APPR								
25001003	8	schwer	ADV	ADJD	Cmp							
25001003	9	Dienstbarkeit	NOUN	NN					S		Nom	F
25001003	10	es	PRON	PPER				3	S		Nom	N
25001003	11	wohnen	VERB	VVFIN		Fin	Pres	3	S	Ind		
25001003	12	unter	ADP	APPR								
25001003	13	der	DET	ART					S		Acc	M
25001003	14	Nation	NOUN	NN					P		Nom	F
25001003	15	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001003	16	kein	DET	PIAT					S		Nom	F
25001003	17	Ruhe	NOUN	NN					S		Nom	F
25001003	18	finden	VERB	VVPP		Part						
25001003	19	sein	DET	PPOSAT					S		Nom	F
25001003	20	Verfolger	NOUN	NN					S		Nom	M
25001003	21	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
25001003	22	es	PRON	PPER				3	S		Nom	N
25001003	23	in	ADP	APPR								
25001003	24	der	DET	ART					S		Nom	M
25001003	25	Bedrängnis	NOUN	NN					S		Nom	F
25001003	26	ergreifen	VERB	VVPP		Part						
25001004	1	der	DET	ART					S		Nom	F
25001004	2	Weg	NOUN	NN					P		Acc	M
25001004	3	Zions	X	FM								
25001004	4	trauern	VERB	VVINF		Inf						
25001004	5	weil	SCONJ	KOUS								
25001004	6	niemand	PRON	PIS					S		Nom	M
25001004	7	zu	ADP	APPRART					S		Dat	N
25001004	8	Fest	NOUN	NN					P		Nom	N
25001004	9	kommen	VERB	VVFIN		Fin	Pres	3	S	Ind		
25001004	10	aller	PRON	PIS					P		Nom	
25001004	11	ihr	DET	PPOSAT					S		Nom	F
25001004	12	Tor	NOUN	NN					P		Nom	N
25001004	13	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
25001004	14	wüst	ADV	ADJD	Pos							
25001004	15	ihr	DET	PPOSAT					S		Nom	F
25001004	16	Priester	NOUN	NN					P		Nom	M
25001004	17	seufzen	VERB	VVFIN		Inf						
25001004	18	ihr	DET	PPOSAT					S		Nom	F
25001004	19	Jungfraue	NOUN	NN					P		Nom	F
25001004	20	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
25001004	21	betrüben	ADV	ADJD	Pos							
25001004	22	und	CCONJ	KON								
25001004	23	ihr	PRON	PPOSAT				3	S		Dat	F
25001004	24	selbst	ADV	ADV								
25001004	25	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001004	26	es	PRON	PPER				3	S		Nom	N
25001004	27	bitter	ADV	ADJD	Pos							
25001005	1	ihr	DET	PPOSAT					S		Acc	F
25001005	2	Bedränger	NOUN	NN					P		Nom	M
25001005	3	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
25001005	4	zu	ADP	APPRART					S		Dat	N
25001005	5	Haupt	NOUN	NN					P		Nom	N
25001005	6	werden	AUX	VAPP		Part						
25001005	7	ihr	DET	PPOSAT					S		Nom	F
25001005	8	Feind	NOUN	NN					P		Nom	M
25001005	9	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
25001005	10	Wohlgemut	PROPN	NE					S		Nom	
25001005	11	denn	CCONJ	KON								
25001005	12	Jahwe	NOUN	NN					S		Nom	M
25001005	13	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001005	14	sie	PRON	PPER				3	P		Nom	
25001005	15	betrüben	ADV	ADJD	Pos							
25001005	16	wegen	ADP	APPR								
25001005	17	der	DET	ART					S		Nom	M
25001005	18	Menge	NOUN	NN					S		Nom	F
25001005	19	ihr	DET	PPOSAT					S		Dat	F
25001005	20	Übertretung	NOUN	NN					P		Nom	F
25001005	21	vor	ADP	APPR								
25001005	22	der	DET	ART					S		Dat	M
25001005	23	Bedränger	NOUN	NN					P		Nom	M
25001005	24	her	ADV	ADV								
25001005	25	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
25001005	26	ihr	DET	PPOSAT					S		Nom	F
25001005	27	Kind	NOUN	NN					P		Nom	N
25001005	28	in	ADP	APPR								
25001005	29	Gefangenschaft	NOUN	NN					S		Nom	F
25001005	30	ziehen	VERB	VVPP		Part						
25001006	1	und	CCONJ	KON								
25001006	2	von	ADP	APPR								
25001006	3	der	DET	ART					S		Nom	M
25001006	4	Tochter	NOUN	NN					S		Nom	F
25001006	5	Zion	PROPN	NE					S		Nom	F
25001006	6	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001006	7	all	DET	PIAT								
25001006	8	ihr	DET	PPOSAT					S		Nom	F
25001006	9	Pracht	NOUN	NN					S		Nom	F
25001006	10	gewichen	VERB	VVPP		Part						
25001006	11	ihr	DET	PPOSAT					S		Nom	F
25001006	12	Fürst	NOUN	NN					P		Nom	M
25001006	13	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
25001006	14	wie	ADP	KOKOM								
25001006	15	Hirsch	NOUN	NN					P		Nom	N
25001006	16	werden	AUX	VAPP		Part						
25001006	17	der	DET	ART					S		Nom	F
25001006	18	kein	DET	PIAT					S		Nom	F
25001006	19	Weide	NOUN	NN					S		Nom	F
25001006	20	finden	VERB	VVINF		Fin	Pres	3	P	Ind		
25001006	21	und	CCONJ	KON								
25001006	22	kraftlos	ADV	ADJD	Pos							
25001006	23	gehen	VERB	VVFIN		Fin	Past	3	P	Ind		
25001006	24	sie	PRON	PPER				3	P		Nom	
25001006	25	vor	ADP	APPR								
25001006	26	der	DET	ART					S		Dat	M
25001006	27	Verfolger	NOUN	NN					S		Nom	M
25001006	28	einher	ADV	APZR								
25001007	1	in	ADP	APPR								
25001007	2	der	DET	ART					S		Acc	M
25001007	3	Tag	NOUN	NN					P		Dat	M
25001007	4	ihr	DET	PPOSAT					S		Gen	M
25001007	5	Elend	NOUN	NN					S		Nom	M
25001007	6	und	CCONJ	KON								
25001007	7	ihr	DET	PPOSAT					S		Gen	M
25001007	8	Umherirrens	PROPN	NE					S		Nom	
25001007	9	gedenken	VERB	VVFIN		Fin	Pres	3	S	Ind		
25001007	10	Jerusalem	PROPN	NE					S		Nom	N
25001007	11	all	DET	PIAT								
25001007	12	ihr	DET	PPOSAT					S		Dat	F
25001007	13	Kostbarkeit	NOUN	NN					P		Nom	F
25001007	14	der	DET	ART					S		Nom	F
25001007	15	seit	ADP	APPR								
25001007	16	der	DET	ART					S		Acc	M
25001007	17	Tag	NOUN	NN					P		Dat	M
25001007	18	der	DET	ART					S		Nom	M
25001007	19	Vorzeit	NOUN	NN					S		Nom	F
25001007	20	sein	AUX	VAFIN		Fin	Past	3	P	Ind		
25001007	21	da	ADV	ADV								
25001007	22	nun	ADV	ADV								
25001007	23	ihr	PRON	PPOSAT				3	S		Dat	F
25001007	24	Volk	NOUN	NN					S		Nom	N
25001007	25	durch	ADP	APPR								
25001007	26	der	DET	ART					S		Nom	F
25001007	27	Hand	NOUN	NN					S		Nom	F
25001007	28	der	DET	ART					S		Gen	M
25001007	29	Bedränger	NOUN	NN					P		Nom	N
25001007	30	fallen	VERB	VVPP		Part						
25001007	31	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001007	32	und	CCONJ	KON								
25001007	33	sie	PRON	PPER				3	P		Nom	
25001007	34	kein	PRON	PIS					S		Acc	M
25001007	35	Helfer	NOUN	NN					S		Nom	M
25001007	36	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001007	37	der	DET	ART					S		Nom	F
25001007	38	Bedränger	NOUN	NN					P		Nom	M
25001007	39	sehen	VERB	VVINF		Fin	Pres	3	P	Ind		
25001007	40	sie	PRON	PPER				3	P		Nom	
25001007	41	an	ADP	PTKVZ								
25001007	42	spotten	VERB	VVFIN		Fin	Pres	3	P	Ind		
25001007	43	ihr	DET	PPOSAT					S		Gen	M
25001007	44	Feiern	NOUN	NN					S		Gen	M
25001008	1	Jerusalem	PROPN	NE					S		Nom	N
25001008	2	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001008	3	schwer	ADV	ADJD	Pos							
25001008	4	sündigen	VERB	VVPP		Part						
25001008	5	darum	ADV	PROAV								
25001008	6	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001008	7	sie	PRON	PPER				3	P		Nom	
25001008	8	wie	ADP	KOKOM								
25001008	9	ein	DET	ART					S		Nom	F
25001008	10	Unrein	NOUN	NE					P		Nom	N
25001008	11	werden	AUX	VAPP		Part						
25001008	12	aller	PRON	PIS					P		Nom	
25001008	13	der	DET	ART					S		Nom	F
25001008	14	sie	PRON	PPER				3	P		Nom	
25001008	15	ehrn	VERB	VVFIN		Fin	Past	3	P	Ind		
25001008	16	verachten	VERB	VVFIN		Fin	Pres	3	P	Ind		
25001008	17	sie	PRON	PPER				3	P		Nom	
25001008	18	weil	SCONJ	KOUS								
25001008	19	sie	PRON	PPER				3	P		Nom	
25001008	20	ihr	DET	PPOSAT					S		Nom	F
25001008	21	Blöße	NOUN	NN					S		Nom	F
25001008	22	sehen	VERB	VVPP		Part						
25001008	23	haben	AUX	VAFIN		Fin	Pres	3	P	Ind		
25001008	24	auch	ADV	ADV								
25001008	25	sie	PRON	PPER				3	P		Nom	
25001008	26	selbst	ADV	ADV								
25001008	27	seufzt	VERB	VVFIN		Fin	Pres	3	S	Ind		
25001008	28	und	CCONJ	KON								
25001008	29	wenden	VERB	VVFIN		Fin	Pres	3	S	Ind		
25001008	30	sich	PRON	PRF				3	S		Acc	
25001008	31	ab	ADP	PTKVZ								
25001009	1	ihr	DET	PPOSAT					S		Acc	F
25001009	2	Unreinigkeit	NOUN	NN					S		Nom	F
25001009	3	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001009	4	an	ADP	PTKVZ								
25001009	5	ihr	DET	PPOSAT					S		Acc	M
25001009	6	Saum	NOUN	NN					P		Dat	M
25001009	7	sie	PRON	PPER				3	P		Nom	
25001009	8	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001009	9	ihr	PRON	PPOSAT				3	S		Dat	F
25001009	10	Ende	NOUN	NN					S		Nom	N
25001009	11	nicht	PART	PTKNEG								
25001009	12	bedacht	ADV	ADJD	Pos							
25001009	13	und	CCONJ	KON								
25001009	14	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001009	15	wunderbar	ADV	ADJD	Pos							
25001009	16	Heruntergekommen	VERB	VVPP		Part						
25001009	17	da	SCONJ	KOUS								
25001009	18	sein	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001009	19	niemand	PRON	PIS					S		Nom	M
25001009	20	der	DET	ART					S		Nom	M
25001009	21	sie	PRON	PPER				3	P		Nom	
25001009	22	trösten	VERB	VVFIN		Fin	Pres	3	S	Sub		
25001009	23	Sieh	VERB	FM				2	S	Imp		
25001009	24	Jahwe	NOUN	NN					S		Nom	M
25001009	25	mein	DET	PPOSAT					S		Nom	N
25001009	26	Elend	NOUN	NN					S		Nom	N
25001009	27	denn	CCONJ	KON								
25001009	28	der	DET	ART					S		Nom	M
25001009	29	Feind	NOUN	NN					S		Nom	M
25001009	30	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001009	31	Großgetan	NOUN	NN					S		Nom	N
25001010	1	der	DET	ART					S		Nom	M
25001010	2	Bedränger	NOUN	NN					P		Nom	M
25001010	3	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001010	4	sein	DET	PPOSAT					S		Nom	F
25001010	5	Hand	NOUN	NN					S		Nom	F
25001010	6	ausbreiten	VERB	VVPP		Part						
25001010	7	über	ADP	APPR								
25001010	8	aller	PRON	PIS					P		Nom	
25001010	9	ihr	DET	PPOSAT					S		Nom	F
25001010	10	Kostbarkeit	NOUN	NN					P		Nom	F
25001010	11	denn	CCONJ	KON								
25001010	12	sie	PRON	PPER				3	P		Nom	
25001010	13	haben	AUX	VAFIN		Fin	Pres	3	S	Ind		
25001010	14	sehen	VERB	VVPP		Part						
25001010	15	daß	SCONJ	KOUS								
25001010	16	Nation	NOUN	NN					P		Nom	F
25001010	17	in	ADP	APPR								
25001010	18	ihr	PRON	PPOSAT				3	S		Dat	F
25001010	19	Heiligtum	NOUN	NN					S		Nom	N
25001010	20	kommen	VERB	VVPP		Part						
25001010	21	sein	AUX	VAFIN		Fin	Pres	3	P	Ind		
25001010	22	von	ADP	APPR								
25001010	23	welcher	DET	PWAT					S		Acc	M
25001010	24	du	PRON	PPER				2	S		Nom	
25001010	25	gebieten	VERB	VVPP		Part						
25001010	26	haben	AUX	VAFIN		Fin	Pres	2	S	Ind		
25001010	27	sie	PRON	PPER				3	P		Nom	
25001010	28	sollen	AUX	VMFIN		Fin	Pres	3	P	Ind		
25001010	29	nicht	PART	PTKNEG								
25001010	30	in	ADP	APPR								
25001010	31	dein	DET	PPOSAT					S		Nom	F
25001010	32	Versammlung	NOUN	NN					S		Nom	F
25001010	33	kommen	VERB	VVFIN		Fin	Pres	3	P	Ind		
25001011	1	all	DET	PIAT								
25001011	2	ihr	PRON	PPOSAT				3	S		Dat	F
