id;grammar;lemma_id
H7225-001;Prep-b | N-fs;H7225
H7225-002;N-fsc;H7225
H7225-003;Conj-w | N-fsc;H7225
H7225-004;N-fs;H7225
H7225-005;Prep-m | N-fsc;H7225
H7225-006;N-fsc | 3mp;H7225
H7225-007;Prep-l, Art | N-fs;H7225
H7225-008;N-fsc | 2ms;H7225
H7225-009;Prep-m | N-fsc | 3ms;H7225
H7225-010;Conj-w, Prep-m | N-fsc;H7225
H7225-011;Prep-m | N-fs;H7225
H7225-012;Prep-b | N-fsc;H7225
H7225-013;Prep-b | N-fsc | 3fs;H7225
H0430-001;N-mp;H0430
H0430-002;Prep-k | N-mp;H0430
H0430-003;Art | N-mp;H0430
H0430-004;N-mpc;H0430
H0430-005;Prep-l | N-mp;H0430
H0430-006;Prep-b | N-mp;H0430
H0430-007;Conj-w, Art | N-mp;H0430
H0430-008;Conj-w | N-mpc;H0430
H0430-009;N-mpc | 2ms;H0430
H0430-010;N-mpc | 1cs;H0430
H0430-011;N-mpc | 2mp;H0430
H0430-012;Prep-l | N-mpc;H0430
H0430-013;Conj-w | N-mp;H0430
H0430-014;N-mpc | 1cp;H0430
H0430-015;Prep-l | N-mpc | 1cp;H0430
H0430-016;Prep-l | N-mpc | 2mp;H0430
H0430-017;N-mpc | 3mp;H0430
H0430-018;Prep-l, Art | N-mp;H0430
H0430-019;Prep-l | N-mpc | 3mp;H0430
H0430-020;Conj-w, Prep-l | N-mpc | 3mp;H0430
H0430-021;N-mpc | 3ms;H0430
H0430-022;N-mpc | 3fp;H0430
H0430-023;Prep-m | N-mpc | 2ms;H0430
H0430-024;Prep-l | N-mpc | 3ms;H0430
H0430-025;Prep-l | N-mpc | 3fp;H0430
H0430-026;Conj-w, Prep-b | N-mpc | 3mp;H0430
H0430-027;Prep-m | N-mpc;H0430
H0430-028;Prep-b | N-mpc;H0430
H0430-029;Prep-b | N-mpc | 2mp;H0430
H0430-030;Conj-w | N-mpc | 3mp;H0430
H0430-031;N-mpc | 3fs;H0430
H0430-032;Conj-w | N-mpc | 2fs;H0430
H0430-033;Prep-k | N-mpc | 1cp;H0430
H0430-034;Prep-b | N-mpc | 3ms;H0430
H0430-035;Conj-w | N-mpc | 3ms;H0430
H0430-036;Prep-m | N-mpc | 1cs;H0430
H0430-037;Prep-b | N-mpc | 1cs;H0430
H0430-038;Prep-m, Art | N-mp;H0430
H0430-039;Conj-w, Prep-m | N-mp;H0430
H0430-040;Prep-k | N-mpc;H0430
H0430-041;Prep-m | N-mp;H0430
H0430-042;Prep-m | N-mpc | 1cp;H0430
H0430-043;Prep-b | N-mpc | 1cp;H0430
H0430-044;Conj-w | N-mpc | 1cs;H0430
H0430-045;Conj-w, Prep-b | N-mpc | 1cs;H0430
H0430-046;Prep-l | N-mpc | 1cs;H0430
H0430-047;Prep-b, Art | N-mp;H0430
H0430-048;Conj-w | N-mpc | 1cp;H0430
H0430-049;N-mpc | 2fs;H0430
H0430-050;Conj-w, Prep-b | N-mpc | 3ms;H0430
H0430-051;Conj-w, Prep-m | N-mpc | 1cs;H0430
H0430-052;Conj-w, Prep-b | N-mpc;H0430
H0430-053;Art | N-mpc;H0430
H0430-054;Prep-m | N-mpc | 3ms;H0430
H0430-055;Prep-b | N-mpc | 2ms;H0430
H0430-056;Prep-b | N-mpc | 3fs;H0430
H0430-057;Prep-l | N-msc | 3ms;H0430
H0853-001;DirObjM;H0853
H0853-002;Conj-w | DirObjM;H0853
H0853-003;DirObjM | 3mp;H0853
H0853-004;DirObjM | 3ms;H0853
H0853-005;DirObjM | 1cs;H0853
H0853-006;DirObjM | 3fs;H0853
H0853-007;DirObjM | 2ms;H0853
H0853-008;DirObjM | 2fs;H0853
H0853-009;Conj-w | DirObjM | 2fs;H0853
H0853-011;DirObjM | 3fp;H0853
H0853-013;Prep-m | DirObjM | 3ms;H0853
H0853-014;Conj-w | DirObjM | 3ms;H0853
H0853-016;DirObjM | 1cp;H0853
H0853-017;Prep-m | DirObjM | 1cs;H0853
H0853-018;DirObjM | 2mp;H0853
H0853-019;Conj-w | DirObjM | 3fs;H0853
H0853-020;Conj-w, Prep-m | DirObjM;H0853
H0853-021;Conj-w | DirObjM | 3fp;H0853
H0853-022;Conj-w | DirObjM | 2mp;H0853
H0853-023;Conj-w | DirObjM | 1cs;H0853
H0853-024;Conj-w | DirObjM | 1cp;H0853
H0853-026; DirObjM;H0853
H0853-027; DirObj;H0853
H0853-028;DirObj;H0853
H0853-029;DirObj ;H0853
H0853-031;Conj-w | DirObjM | 2ms;H0853
H0853-033;Prep-m | DirObjM | 2fs;H0853
H0853-035;Conj-w | N-ms | 1cs;H0853
H0853-036;Adj-ms;H0853
H0853-037;N-msc;H0853
H0853-038;Pro;H0853
H0853-039;N-fs;H0853
H0853-040;Conj-w | Pro;H0853
H0853-041;Conj-w | N-fpc;H0853
H0853-042;Conj-w | DirObjM | 3mp;H0853
H8064-001;Art | N-mp;H8064
H8064-002;N-mp;H8064
H8064-003;Conj-w | N-mp;H8064
H8064-004;Prep-b, Art | N-mp;H8064
H8064-005;Art | N-mp | 3fs;H8064
H8064-006;N-mpc | 2mp;H8064
H8064-007;Conj-w | N-mpc;H8064
H8064-008;N-mpc | 2ms;H8064
H8064-009;N-mpc | 3ms;H8064
H8064-010;Conj-w, Art | N-mp;H8064
H8064-011;Prep-m, Art | N-mp;H8064
H8064-012;Prep-l, Art | N-mp;H8064
H8064-013;N-mpc;H8064
H8064-014;Prep-m | N-mp;H8064
H8064-015;Prep-m | N-mpc;H8064
H8064-016;Prep-b | N-mpc;H8064
H0776-001;Art | N-fs;H0776
H0776-002;Conj-w, Art | N-fs;H0776
H0776-003;N-fs;H0776
H0776-004;Prep-b, Art | N-fs;H0776
H0776-005;N-fsc;H0776
H0776-006;Prep-b | N-fsc;H0776
H0776-007;Prep-b | N-fpc | 3mp;H0776
H0776-008;N-fs | 3fs;H0776
H0776-009;Prep-m | N-fsc | 2ms;H0776
H0776-010;Prep-k | N-fsc;H0776
H0776-011;Conj-w | N-fs;H0776
H0776-012;Prep-b | N-fs;H0776
H0776-013;N-fsc | 1cs;H0776
H0776-014;Prep-m | N-fsc;H0776
H0776-015;Conj-w, Prep-m | N-fsc;H0776
H0776-016;Prep-b | N-fsc | 3ms;H0776
H0776-017;Art | N-fp;H0776
H0776-018;Conj-w, Prep-l | N-fsc | 1cs;H0776
H0776-019;Prep-l | N-fsc | 2ms;H0776
H0776-020;Prep-l, Art | N-fs;H0776
H0776-021;Conj-w | N-fsc;H0776
H0776-022;Conj-w, Prep-b | N-fsc;H0776
H0776-023;Prep-m | N-fsc | 3ms;H0776
H0776-024;N-fsc | 3ms;H0776
H0776-025;N-fsc | 2ms;H0776
H0776-026;Prep-b | N-fsc | 2ms;H0776
H0776-027;N-fsc | 2mp;H0776
H0776-028;Prep-b | N-fsc | 2mp;H0776
H0776-029;Conj-w, Prep-b | N-fsc | 2mp;H0776
H0776-030;Prep-b | N-fpc;H0776
H0776-031;Prep-m | N-fs;H0776
H0776-032;Prep-b | N-fsc | 3mp;H0776
H0776-033;Conj-w, Prep-l, Art | N-fs;H0776
H0776-034;Prep-m | N-fsc | 3mp;H0776
H0776-035;Prep-l | N-fsc;H0776
H0776-036;Conj-w, Prep-b, Art | N-fs;H0776
H0776-037;N-fsc | 3mp;H0776
H0776-038;N-fsc | 3fs;H0776
H0776-039;Conj-w, Prep-l | N-fsc | 3mp;H0776
H0776-040;N-fsc | 1cp;H0776
H0776-041;Prep-b | N-fsc | 1cs;H0776
H0776-042; Art | N-fs;H0776
H0776-043;Prep-m, Art | N-fs;H0776
H0776-044;Prep-l | N-fsc | 3fs;H0776
H0776-045;Prep-k | N-fsc | 2mp;H0776
H0776-046;Prep-l | N-fsc | 3ms;H0776
H0776-047;N-fpc;H0776
H0776-048;Conj-w, Prep-b | N-fs;H0776
H0776-049;Prep-k | N-fs;H0776
H0776-050;Prep-b | N-fsc | 1cp;H0776
H0776-051;Conj-w | N-fsc | 1cp;H0776
H0776-052;Prep-b, Art | N-fp;H0776
H0776-053;Conj-w, Prep-m | N-fp;H0776
H0776-055;Conj-w | N-fs | 3fs;H0776
H0776-056;N-fsc | 2fs;H0776
H0776-057;Prep-k, Art | N-fs;H0776
H0776-058;Prep-b | N-fsc | 2fs;H0776
H0776-059;Conj-w, Prep-l | N-fsc | 2fs;H0776
H0776-060;Conj-w | N-fsc | 2fs;H0776
H0776-061;N-fp;H0776
H0776-062;Conj-w, Prep-m | N-fsc | 3ms;H0776
H0776-063;Prep-m | N-fpc;H0776
H0776-064;Prep-b | N-fp;H0776
H1961-001;V-Qal-Perf-3fs;H1961
H1961-002;V-Qal-Imperf.Jus-3ms;H1961
H1961-003;Conj-w | V-Qal-ConsecImperf-3ms;H1961
H1961-004;Conj-w | V-Qal-ConjImperf.Jus-3ms;H1961
H1961-005;Conj-w | V-Qal-ConjPerf-3cp;H1961
H1961-006;V-Qal-Imperf-3ms;H1961
H1961-007;Conj-w | V-Qal-ConjPerf-3ms;H1961
H1961-008;V-Qal-Inf;H1961
H1961-009;Conj-w | V-Qal-ConsecImperf-3mp;H1961
H1961-010;V-Qal-Perf-3ms;H1961
H1961-011;Conj-w | V-Qal-ConjPerf-2mp;H1961
H1961-012;Prep-b | V-Qal-Inf | 3mp;H1961
H1961-013;V-Qal-Imperf-2ms;H1961
H1961-014;Conj-w | V-Qal-ConjPerf-1cs;H1961
H1961-015;V-Qal-Perf-3cp;H1961
H1961-016;V-Qal-Imperf-3mp;H1961
H1961-017;Conj-w | V-Qal-ConjPerf-3fs;H1961
H1961-018;Prep-l | V-Qal-Inf;H1961
H1961-019;Conj-w | V-Qal-ConsecImperf-3fs;H1961
H1961-020;Conj-w | V-Qal-Imp-ms;H1961
H1961-021;V-Qal-Imperf.Jus-3fs;H1961
H1961-022;Conj-w | V-Qal-ConjPerf-2ms;H1961
H1961-023;V-Qal-InfAbs;H1961
H1961-024;Conj-w | V-Qal-ConjImperf.Jus-3fs;H1961
H1961-025;V-Qal-Imp-fs;H1961
H1961-026;Conj-w | V-Qal-ConjImperf.h-1cs;H1961
H1961-027;Conj-w | V-Qal-ConsecImperf-3fp;H1961
H1961-028;Conj-w | V-Qal-ConjImperf-1cs;H1961
H1961-029;V-Qal-Perf-1cs;H1961
H1961-030;V-Qal-Imperf-3fs;H1961
H1961-031;V-Qal-Imperf-2mp;H1961
H1961-032;Conj-w | V-Qal-ConjPerf-1cp;H1961
H1961-033;V-Qal-Imperf-1cp;H1961
H1961-034;V-Qal-Perf-2ms;H1961
H1961-035;V-Qal-Imperf-3fp;H1961
H1961-036;V-Qal-Perf-1cp;H1961
H1961-037;Conj-w | V-Qal-ConjImperf.h-1cp;H1961
H1961-038;V-Qal-Imperf-1cs;H1961
H1961-039;Prep-b | V-Qal-Inf;H1961
H1961-040;Conj-w | V-Qal-ConjImperf-3mp;H1961
H1961-041;V-Qal-Prtcpl-fs;H1961
H1961-042;Prep-m | V-Qal-Inf;H1961
H1961-043;V-Qal-Inf | 3mp;H1961
H1961-044;V-Nifal-Perf-3fs;H1961
H1961-045;V-Qal-Imp-ms;H1961
H1961-046;V-Qal-Imp-mp;H1961
H1961-047;V-Qal-Perf-2mp;H1961
H1961-048;V-Qal-Imperf-2mp | Pn;H1961
H1961-049;Conj-w | V-Qal-ConsecImperf-1cp;H1961
H1961-050;V-Nifal-Perf-3ms;H1961
H1961-051;Conj-w, Prep-l | V-Qal-Inf | 2ms;H1961
H1961-052;V-Nifal-Perf-2ms;H1961
H1961-054;V-Qal-Perf-2fs;H1961
H1961-055;Conj-w | V-Qal-ConsecImperf-1cs;H1961
H1961-056;V-Qal-Inf | 2ms;H1961
H1961-057;Conj-w | V-Qal-Imp-mp;H1961
H1961-058; V-Qal-Perf-3ms;H1961
H1961-059;Prep-b | V-Qal-Inf | 1cp;H1961
H1961-060;V-Qal-Inf | 1cp;H1961
H1961-061;Conj-w | V-Qal-ConjPerf-2fs;H1961
H1961-062;Prep-b | V-Qal-Inf | 3ms;H1961
H1961-063;Conj-w | V-Qal-ConjImperf.Jus-2ms;H1961
H1961-064;Prep-b | V-Qal-Inf | 2mp;H1961
H1961-065;Conj-w, Prep-l | V-Qal-Inf;H1961
H1961-066;Conj-w | V-Qal-ConsecImperf-2ms;H1961
H1961-067;Pro-r | V-Qal-Perf-3ms;H1961
H1961-068;V-Qal-Imperf.Jus-2ms;H1961
H1961-069;Prep | V-Qal-Inf;H1961
H1961-070;V-Nifal-Prtcpl-fs;H1961
H1961-071;Pro-r | V-Qal-Imperf-3ms;H1961
H1961-072;Pro-r | V-Qal-Imperf-3mp;H1961
H1961-073;Pro-r | V-Qal-Perf-3cp;H1961
H1961-074;Prep-k, Pro-r | V-Qal-Perf-3ms;H1961
H1961-075;V-Qal-Inf | 3fs;H1961
H1961-076;Prep-m | V-Qal-Inf | 2ms;H1961
H1961-077;V-Qal-Inf | 2fs;H1961
H1961-078;Conj-w | V-Qal-ConjImperf-3fp;H1961
H1961-079;V-Qal-Inf | 2mp;H1961
H1961-080;Conj-w | V-Qal-ConsecImperf-2fs;H1961
H1961-081;Prep-b | V-Qal-Inf | 2fs;H1961
H1961-082;Conj-w | V-Nifal-ConjPerf-3fs;H1961
H1961-083;V-Qal-Inf | 3ms;H1961
H1961-084;Prep-l | V-Qal-Inf | 2mp;H1961
H1961-085;Adv;H1961
H1961-086;V-Nifal-Perf-1cs;H1961
H1961-087;V-Qal-Imperf-2fs;H1961
H1961-088;Conj-w | V-Qal-ConsecImperf-2mp;H1961
H1961-089;V-Qal-Inf | 1cs;H1961
H1961-090;Prep-m | V-Qal-Inf | 3mp;H1961
H8414-001;N-ms;H8414
H8414-002;Conj-w, Prep-b | N-ms;H8414
H8414-003;Art | N-ms;H8414
H8414-004;Prep-b, Art | N-ms;H8414
H8414-005;Prep-b | N-ms;H8414
H8414-006;Conj-w | N-ms;H8414
H8414-007;Prep-k, Art | N-ms;H8414
H8414-008;Prep-l | N-ms;H8414
H0922-001;Conj-w | N-ms;H0922
H0922-002;N-ms;H0922
H2822-001;Conj-w | N-ms;H2822
H2822-002;Art | N-ms;H2822
H2822-003;Conj-w, Prep-l, Art | N-ms;H2822
H2822-004;N-ms;H2822
H2822-005;N-msc;H2822
H2822-006;Conj-w, Art | N-ms;H2822
H2822-007;Prep-b, Art | N-ms;H2822
H2822-008;N-msc | 1cs;H2822
H2822-009;Prep-l, Art | N-ms;H2822
H2822-010;Prep-m | N-ms;H2822
H2822-011;Conj-w, Prep-b, Art | N-ms;H2822
H2822-012;Prep-l | N-ms;H2822
H2822-013;Conj-w, Prep-m | N-ms;H2822
H5921-007;Prep | 2ms;H5921
H5921-010;Prep | 3fs;H5921
H5921-015;Prep | 2mp;H5921
H6440-001;N-cpc;H6440
H6440-002;N-mpc;H6440
H6440-003;Prep-m | N-cpc;H6440
H6440-004;N-cpc | 3ms;H6440
H6440-005;N-cpc | 2ms;H6440
H6440-006;Conj-w, Prep-m | N-cpc | 2ms;H6440
H6440-007;Prep-m, Prep-l | N-cpc;H6440
H6440-008;Prep-l | N-cpc;H6440
H6440-009;Prep-l | N-mpc | 1cs;H6440
H6440-010;Prep-m | N-mpc | 3mp;H6440
H6440-011;Conj-w | N-mpc | 3mp;H6440
H6440-012;Prep-l | N-cpc | 2ms;H6440
H6440-013;Prep-m | N-mpc | 3fs;H6440
H6440-014;Prep-l | N-mpc | 3mp;H6440
H6440-015;Prep-m, Prep-l | N-mpc | 1cs;H6440
H6440-016;Prep-l | N-cpc | 3ms;H6440
H6440-017;Prep-m | N-cpc | 2ms;H6440
H6440-018;N-mpc | 1cs;H6440
H6440-019;N-mp;H6440
H6440-020;Prep-l | N-mpc | 2mp;H6440
H6440-021;N-mpc | 3fs;H6440
H6440-022;N-mpc | 2mp;H6440
H6440-023;N-mpc | 3ms;H6440
H6440-024;Prep-m | N-cpc | 3ms;H6440
H6440-025;Prep-l | N-mpc;H6440
H6440-026;Conj-w, Prep-l | N-cpc;H6440
H6440-027;Prep-m | N-mpc | 1cs;H6440
H6440-028;Prep-m, Prep-l | N-cpc | 2ms;H6440
H6440-029;Prep-l | N-mpc | 1cp;H6440
H6440-030;Conj-w | N-mpc | 1cs;H6440
H6440-031;Art | N-mp;H6440
H6440-032;N-mpc | 3mp;H6440
H6440-033;Prep-m | N-mpc | 2mp;H6440
H6440-034;Prep-k, Prep-m | N-mpc;H6440
H6440-035;Prep-b | N-mpc | 3fs;H6440
H6440-036;Prep-m | N-mpc;H6440
H6440-037;Prep-l | N-mp;H6440
H6440-038;Prep-b | N-cpc | 3ms;H6440
H6440-039;Prep-b | N-mp;H6440
H6440-040;Prep-b | N-cpc | 2ms;H6440
H6440-041;Prep-m, Prep-l | N-mpc | 2mp;H6440
H6440-042;Prep-b | N-mpc | 2mp;H6440
H6440-043;Prep-m | N-mpc | 1cp;H6440
H6440-044;Prep-b | N-mpc | 3mp;H6440
H6440-045;N-cp;H6440
H6440-046;Conj-w | N-mpc | 3fs;H6440
H6440-047;Conj-w, Prep-l | N-mpc | 3mp;H6440
H6440-048;Conj-w | N-cpc;H6440
H6440-049;Art | N-ms;H6440
H6440-050; Prep-l | N-cpc;H6440
H6440-051;Prep-m | N-cpc ;H6440
H6440-052; Prep-m | N-cpc;H6440
H6440-053;N-cpc | 2fs;H6440
H6440-054;Prep-m | N-mp;H6440
H6440-055;Conj-w | N-cpc | 2ms;H6440
H6440-057;Prep-m, Prep-l | Adv;H6440
H6440-058;Prep-m, Prep-l | N-cpc | 3ms;H6440
H6440-059;Conj-w, Prep-l | N-cpc | 2ms;H6440
H6440-060;Conj-w | N-cpc | 3ms;H6440
H6440-061;Conj-w, Prep-m, Prep-l | N-cpc;H6440
H6440-062;Prep-l | N-mpc | 3fs;H6440
H6440-063;Art | N-cpc | 3ms;H6440
H6440-064;Prep | N-cpc | 3ms;H6440
H6440-065;Prep-b | N-mpc | 1cs;H6440
H6440-066;Conj-w, Prep-l | N-cpc | 3ms;H6440
H6440-067;Conj-w, Prep-m | N-mpc | 1cs;H6440
H6440-068;N-mpc | 2fs;H6440
H6440-069;Conj-w | N-mp;H6440
H6440-070;Prep-l, Art | N-mp;H6440
H6440-071;Prep-m, Prep-l | N-cpc | 1cp;H6440
H6440-072;Conj-w, Prep-m | N-cpc;H6440
H6440-073;Conj-w, Prep-m, Prep-l | N-mp;H6440
H6440-074;Conj-w, Prep-l | N-mpc;H6440
H6440-075;N-mpc | 1cp;H6440
H6440-076;Conj-w | N-mpc;H6440
H6440-077;Conj-w, Prep-m | N-mpc | 3mp;H6440
H6440-078;Prep-b | N-cpc;H6440
H6440-079;Prep-m | N-cpc | 3fs;H6440
H8415-001;N-cs;H8415
H8415-002;N-cp;H8415
H8415-003;Conj-w | N-cp;H8415
H8415-004;Conj-w, Prep-m | N-cs;H8415
H8415-005;Conj-w, Prep-m | N-cpc;H8415
H8415-006;Prep-k | N-cpc;H8415
H8415-007;Prep-b, Art | N-cp;H8415
H7307-001;Conj-w | N-csc;H7307
H7307-002;Prep-l | N-csc;H7307
H7307-003;N-csc | 1cs;H7307
H7307-004;N-csc;H7307
H7307-005;N-cs;H7307
H7307-006;N-csc | 3ms;H7307
H7307-007;Prep-b | N-csc;H7307
H7307-008;Conj-w, Prep-b | N-csc;H7307
H7307-009;Prep-b | N-csc | 2ms;H7307
H7307-010;Art | N-cs;H7307
H7307-011;Conj-w | N-cs;H7307
H7307-012;Art | N-cp;H7307
H7307-013;N-csc | 3mp;H7307
H7307-014;Prep-b, Art | N-cs;H7307
H7307-015;N-csc | 2ms;H7307
H7307-016;N-cp;H7307
H7307-017;Conj-w | N-csc | 2ms;H7307
H7307-018;Conj-w, Prep-m | N-csc;H7307
H7307-019;Conj-w, Prep-l | N-cs;H7307
H7307-020;Prep-b | N-csc | 3ms;H7307
H7307-021;Prep-l, Art | N-cs;H7307
H7307-022;Prep-k, Art | N-cs;H7307
H7307-023;Prep-m | N-cs;H7307
H7307-024;Prep-m | N-csc | 2ms;H7307
H7307-025;Prep-b | N-cs;H7307
H7307-026;N-cpc;H7307
H7307-027; N-cs;H7307
H7307-028;Prep-l | N-csc | 3ms;H7307
H7307-029;Conj-w, Art | N-cs;H7307
H7307-030;Conj-w, Prep-b | N-cs;H7307
H7307-031;Conj-w, Prep-l | N-csc;H7307
H7307-032;Conj-w | N-csc | 3ms;H7307
H7307-033;N-msc | 2mp;H7307
H7307-034;Prep-l | N-cs;H7307
H7307-035;Prep-k | N-csc;H7307
H7307-036;N-cs | 3fs;H7307
H7307-037;Conj-w | N-csc | 1cs;H7307
H7307-038;Prep-b | N-csc | 1cs;H7307
H7307-039;Prep-b | N-msc | 2mp;H7307
H4325-001;Art | N-mp;H4325
H4325-002;N-mp;H4325
H4325-003;Prep-l | N-mp;H4325
H4325-004;N-mpc;H4325
H4325-005;Conj-w | N-mpc;H4325
H4325-006;Conj-w, Art | N-mp;H4325
H4325-007;Prep-m | N-mpc;H4325
H4325-008;Conj-w | N-mp;H4325
H4325-009;Prep-k, Art | N-mp;H4325
H4325-010;Art | N-mp | 3fs;H4325
H4325-011;N-mpc | 3mp;H4325
H4325-012;Prep-b, Art | N-mp;H4325
H4325-013;Prep-b | N-mp;H4325
H4325-014;Prep-l, Art | N-mp;H4325
H4325-015;N-mpc | 2ms;H4325
H4325-016;Conj-w, Prep-b, Art | N-mp;H4325
H4325-017;Prep-l | N-mpc;H4325
H4325-018;Prep-b | N-mpc;H4325
H4325-019;N-mpc | 3ms;H4325
H4325-020;N-mpc | 1cs;H4325
H4325-021;Conj-w, Prep-k, Art | N-mp;H4325
H4325-022;Prep-m | N-mp;H4325
H4325-024;Prep-k | N-mp;H4325
H4325-025;Conj-w, Prep-b | N-mp;H4325
H4325-026;Conj-w, Prep-m | N-mpc;H4325
H4325-027;N-mpc | 3fs;H4325
H4325-028;N-mpc | 1cp;H4325
H4325-029;Conj-w | N-mpc | 2ms;H4325
H4325-030;Conj-w | N-mpc | 3mp;H4325
H4325-031;Conj-w | N-mpc | 1cs;H4325
H0559-001;Conj-w | V-Qal-ConsecImperf-3ms;H0559
H0559-002;Prep-l | V-Qal-Inf;H0559
H0559-003;V-Qal-Perf-3ms;H0559
H0559-004;Conj-w | V-Qal-ConsecImperf-3fs;H0559
H0559-005;V-Nifal-Imperf-3ms;H0559
H0559-006;Conj-w | V-Qal-ConsecImperf-3mp;H0559
H0559-007;Conj-w | V-Qal-ConjPerf-3cp;H0559
H0559-008;V-Qal-Imp-fs;H0559
H0559-009;V-Qal-Perf-2ms;H0559
H0559-010;V-Qal-Imperf-2ms;H0559
H0559-011;V-Qal-Perf-3fs;H0559
H0559-012;V-Qal-Perf-1cs;H0559
H0559-013;Conj-w | V-Qal-ConsecImperf-1cs;H0559
H0559-014;V-Qal-Imperf-3fs;H0559
H0559-015;V-Qal-Imperf-1cs;H0559
H0559-016;Conj-w | V-Qal-ConjPerf-3fs;H0559
H0559-017;Conj-w | V-Qal-ConjPerf-1cs;H0559
H0559-018;Conj-w | V-Qal-ConsecImperf-1cp;H0559
H0559-019;V-Qal-Imperf-3ms;H0559
H0559-020;Conj-w | V-Qal-ConsecImperf-3fp;H0559
H0559-021;V-Qal-Imperf-2mp | Pn;H0559
H0559-022;Art | V-Qal-Prtcpl-ms;H0559
H0559-023;Conj-w | V-Qal-ConjPerf-2ms;H0559
H0559-024;Conj-w | V-Qal-ConjPerf-2mp;H0559
H0559-025;V-Qal-Imperf-2mp;H0559
H0559-026;V-Qal-Prtcpl-mp;H0559
H0559-027;Conj-w | V-Qal-ConjPerf-1cp;H0559
H0559-028;V-Qal-Perf-3cp;H0559
H0559-029;V-Qal-Perf-2mp;H0559
H0559-030;V-Qal-Imperf-1cp;H0559
H0559-031;Conj-w | V-Qal-ConsecImperf-2ms;H0559
H0559-032;V-Qal-Imp-ms;H0559
H0559-033;Conj-w | V-Qal-ConjImperf.Cohort-1cs;H0559
H0559-034;Conj-w | V-Qal-ConjPerf-3ms;H0559
H0559-035;V-Qal-Prtcpl-ms;H0559
H0559-036;V-Qal-Imperf-3mp;H0559
H0559-037;V-Qal-InfAbs;H0559
H0559-038;Conj-w | V-Qal-ConsecImperf-2mp;H0559
H0559-039;Prep-b | V-Qal-Inf;H0559
H0559-040;V-Hifil-Perf-2ms;H0559
H0559-041;V-Hifil-Perf-3ms | 2ms;H0559
H0559-042;Conj-w | V-Qal-ConjImperf-3mp;H0559
H0559-043;Conj-w | V-Nifal-ConsecImperf-3ms;H0559
H0559-044;Prep-k | V-Qal-Inf;H0559
H0559-045;V-Qal-Inf | 1cs;H0559
H0559-046;Conj-w | V-Qal-ConjPerf-2fs;H0559
H0559-048;Conj-w | V-Qal-ConsecImperf-1cs | 3fs;H0559
H0559-049;V-Qal-Perf-2fs;H0559
H0559-050;V-Qal-Imperf-2fs;H0559
H0559-051; Conj-w | V-Qal-ConsecImperf-3ms;H0559
H0559-052;Conj-w | V-Qal-ConsecImperf-3mp ;H0559
H0559-053;V-Qal-Imp-mp;H0559
H0559-054;V-Qal-Prtcpl-fs;H0559
H0559-055;Conj-w | V-Qal-Imp-ms;H0559
H0559-056;V-Qal-Perf-1cp;H0559
H0559-057;Conj-w | V-Qal-ConjImperf-3ms;H0559
H0559-058;Conj-w | V-Qal-Imp-mp;H0559
H0559-059;Conj-w | V-Qal-Prtcpl-mp;H0559
H0559-060;Conj-w, Prep-l | V-Qal-Inf;H0559
H0559-061;Prep-b | V-Qal-Inf | 3mp;H0559
H0559-062;V-Qal-Imperf-3fp;H0559
H0559-063;Prep-k | V-Qal-Inf | 3mp;H0559
H0559-064;Art | V-Qal-Prtcpl-mp;H0559
H0559-065;V-Qal-Inf;H0559
H0559-066;V-Qal-Imperf.Cohort-1cs;H0559
H0559-067;V-Hitpael-Imperf-3mp;H0559
H0559-068;Prep-b | V-Qal-Prtcpl-mp;H0559
H0559-069;V-Qal-Imperf-3mp | 2ms;H0559
H0559-070;Conj-w | V-Qal-Prtcpl-ms;H0559
H0559-071;Pro-r | V-Qal-Imperf-3ms;H0559
H0559-072;Conj-w | V-Qal-ConjImperf.h-1cp;H0559
H0559-073;Conj-w | V-Qal-ConsecImperf-2fs;H0559
H0559-074;Art | V-Qal-Prtcpl-fs;H0559
H0559-075;V-Qal-Inf | 2fs;H0559
H0559-076;V-Qal-Inf | 2mp;H0559
H0559-077;V-Qal-Prtcpl-fp;H0559
H0559-078;Pro-r | V-Qal-Imperf-3mp;H0559
H0559-079;Prep-b | V-Qal-Inf | 1cs;H0559
H0559-080;Conj-w | V-Qal-ConjImperf-1cs;H0559
H0559-081;Conj-w, Prep-b | V-Qal-Inf | 1cs;H0559
H0559-082;V-Qal-Inf | 2ms;H0559
H0559-083;V-Nifal-Perf-3ms;H0559
H0559-084;Art | V-Qal-Prtcpl-fp;H0559
H0559-085;V-Qal-QalPassPrtcpl-ms;H0559
H0559-086;Prep-b | V-Qal-Inf | 2mp;H0559
H0216-001;N-cs;H0216
H0216-002;Art | N-cs;H0216
H0216-003;Prep-l, Art | N-cs;H0216
H0216-005;N-csc;H0216
H0216-006;Conj-w, Prep-k | N-csc;H0216
H0216-007;Prep-l | N-cs;H0216
H0216-008;Prep-m | N-cs;H0216
H0216-009;N-csc | 3ms;H0216
H0216-010;Prep-l | N-csc | 3ms;H0216
H0216-011;Conj-w | N-csc;H0216
H0216-012;Prep | N-cs;H0216
H0216-013;Prep-b, Art | N-cs;H0216
H0216-014;Prep-b | N-csc;H0216
H0216-015;Conj-w | N-csc | 3ms;H0216
H0216-016;N-csc | 3mp;H0216
H0216-017;N-csc | 1cs;H0216
H0216-018;Prep-b | N-csc | 2ms;H0216
H0216-019;Prep-k, Art | N-cs;H0216
